_date,total_views,unique_views
2020-12-07,10,4
2020-12-08,16,3
2020-12-09,20,4
2020-12-10,2,1
2020-12-11,3,1
2020-12-12,2,1
2020-12-13,103,16
2020-12-14,11,3
2020-12-15,7,2
2020-12-16,2,1
2020-12-17,2,2
2020-12-18,2,1
2020-12-21,1,1
2020-12-22,1,1
2020-12-24,7,2
2020-12-25,11,2
2020-12-27,8,2
2020-12-28,34,5
2020-12-29,4,1
2020-12-30,17,3
2020-12-31,11,2
2021-01-01,21,3
2021-01-02,26,1
2021-01-04,6,3
2021-01-05,17,4
2021-01-06,6,2
2021-01-07,5,3
2021-01-08,7,2
2021-01-09,1,1
2021-01-10,64,6
2021-01-11,18,3
2021-01-12,13,4
2021-01-13,4,1
2021-01-14,4,2
2021-01-15,12,2
